user,item,topk,counterfactual,predicted_scores,replacement,actual_scores_0,actual_scores_1,actual_scores_2,actual_scores_3,actual_scores_4,actual_scores_avg
0,21897,"[21897, 1366, 17781, 6852, 6853, 6855, 6778, 7503, 1554, 6850, 1067, 7467, 15089, 7071, 6851, 6854, 7464, 16247, 6856, 13562]","{664, 531, 255}","[9.57409, 9.583905, 8.796, 8.409141, 8.344852, 8.334733, 8.326012, 8.241534, 8.059, 7.7979736, 7.7655735, 7.756439, 7.735424, 7.5572314, 7.5183992, 7.48158, 7.4454007, 7.4266715, 7.4185586, 7.3466516]",1366,"[9.830575942993164, 9.242995262145996, 6.100129127502441, 8.363592147827148, 8.269787788391113, 8.326717376708984, 8.677791595458984, 8.085716247558594, 8.97961711883545, 7.81240177154541, 7.806546688079834, 7.843229293823242, 6.534868240356445, 7.250109672546387, 7.554157733917236, 7.232122898101807, 6.957537651062012, 7.140634536743164, 7.483752250671387, 7.368908405303955]","[9.811616897583008, 9.286813735961914, 6.714845180511475, 8.18632984161377, 8.435392379760742, 8.244757652282715, 8.422679901123047, 8.10537338256836, 8.773804664611816, 7.820154666900635, 7.191949367523193, 7.657867908477783, 6.808419227600098, 6.898037433624268, 7.610174655914307, 7.9359049797058105, 6.8184990882873535, 6.649641513824463, 7.144145965576172, 7.739490032196045]","[9.981942176818848, 8.952645301818848, 6.848176002502441, 8.292937278747559, 8.376852989196777, 8.33950424194336, 8.62436580657959, 8.615575790405273, 8.49398422241211, 7.854978561401367, 7.710099697113037, 7.657543659210205, 6.909628868103027, 7.473338603973389, 7.798467636108398, 7.52059268951416, 6.370841026306152, 7.091462135314941, 7.520736217498779, 7.311000823974609]","[10.050328254699707, 9.070908546447754, 6.947013854980469, 8.156935691833496, 8.016809463500977, 8.191044807434082, 8.563061714172363, 8.103727340698242, 8.627473831176758, 7.828575611114502, 7.763792514801025, 7.628634929656982, 7.340500831604004, 7.607979774475098, 7.380539417266846, 7.3730645179748535, 6.644296646118164, 6.734209060668945, 7.465993881225586, 7.417222499847412]","[10.168245315551758, 9.494102478027344, 6.973729610443115, 8.248909950256348, 8.206686973571777, 8.356626510620117, 8.479192733764648, 8.556045532226562, 8.952929496765137, 7.885353088378906, 7.453027248382568, 7.61102819442749, 7.364775657653809, 7.337829113006592, 7.428237438201904, 7.602311611175537, 6.535616397857666, 6.988943576812744, 7.4044108390808105, 7.465219974517822]","[9.968541717529297, 9.209493064880371, 6.716778755187988, 8.249740982055664, 8.261105918884278, 8.29173011779785, 8.553418350219726, 8.293287658691407, 8.765561866760255, 7.840292739868164, 7.585083103179931, 7.679660797119141, 6.991638565063477, 7.3134589195251465, 7.554315376281738, 7.532799339294433, 6.665358161926269, 6.920978164672851, 7.403807830810547, 7.460368347167969]"
1,7394,"[7394, 6778, 15116, 719, 786, 1627, 7473, 803, 14662, 4340, 1231, 20631, 4341, 22526, 21460, 1611, 1233, 8433, 49, 7506]","{1027, 772, 1037, 531, 1047, 536, 1051, 1053, 670, 669, 1063, 706, 968, 970, 972, 846, 975, 976, 985, 858, 990, 992, 996, 997, 613, 1000, 1009, 1012, 1014, 1017}","[9.613484, 9.617036, 7.364127, 7.657512, 7.3065577, 7.3673573, 7.2211523, 7.404691, 7.003384, 7.7807393, 7.360989, 7.3005824, 7.6704526, 7.1661487, 7.075308, 7.126168, 6.960888, 6.711118, 6.1411476, 6.6287913]",6778,"[5.880263328552246, 8.441512107849121, 6.44215202331543, 7.598825931549072, 7.25997257232666, 6.8625993728637695, 6.020814895629883, 7.566794395446777, 5.184065818786621, 7.083968639373779, 3.830263137817383, 7.321539878845215, 7.011985778808594, 6.82331657409668, 6.4795074462890625, 6.362075328826904, 5.819640636444092, 6.037855625152588, 5.655178546905518, 6.029895782470703]","[6.437741756439209, 8.8124418258667, 6.6902055740356445, 7.215703010559082, 7.575375556945801, 7.017252445220947, 6.271847724914551, 7.491746425628662, 5.201804161071777, 6.846020698547363, 7.103615760803223, 7.814704895019531, 7.062586307525635, 7.09746789932251, 6.843094348907471, 6.337027072906494, 6.159803867340088, 6.137911796569824, 6.185584545135498, 6.323736667633057]","[5.921389579772949, 8.574248313903809, 6.146196365356445, 7.172552108764648, 7.3415679931640625, 6.768507957458496, 6.146921634674072, 7.011327743530273, 5.1119465827941895, 7.193974494934082, 4.272525310516357, 7.328420639038086, 7.262124061584473, 6.581577777862549, 6.394241809844971, 6.603885173797607, 6.080835342407227, 6.0491814613342285, 6.150382995605469, 5.7618536949157715]","[6.232412338256836, 8.671976089477539, 6.5254411697387695, 7.05911922454834, 7.445789337158203, 6.982320785522461, 6.209975242614746, 7.79938268661499, 4.828484058380127, 7.123230934143066, 5.2081499099731445, 7.837583541870117, 7.000169277191162, 6.889501571655273, 6.694271564483643, 6.622833728790283, 6.016925811767578, 6.202005386352539, 6.10371208190918, 6.448927402496338]","[6.1304707527160645, 8.71982479095459, 6.464365005493164, 7.163130760192871, 7.298054218292236, 6.4593939781188965, 6.25762414932251, 7.124781131744385, 5.105454444885254, 6.691236972808838, 4.884448051452637, 7.477339267730713, 6.615000247955322, 6.738633632659912, 6.432717800140381, 6.365086078643799, 5.919549465179443, 5.418799877166748, 5.798912525177002, 5.693065166473389]","[6.120455551147461, 8.644000625610351, 6.45367202758789, 7.241866207122802, 7.384151935577393, 6.818014907836914, 6.1814367294311525, 7.398806476593018, 5.086351013183593, 6.987686347961426, 5.059800434112549, 7.555917644500733, 6.990373134613037, 6.826099491119384, 6.5687665939331055, 6.458181476593017, 5.9993510246276855, 5.969150829315185, 5.978754138946533, 6.051495742797852]"
2,1231,"[1231, 197, 369, 1450, 621, 1408, 307, 6778, 18106, 17629, 1623, 17290, 4340, 4341, 1458, 803, 1588, 15396, 23361, 7393]",,,-1,,,,,,
3,1047,"[1047, 5148, 8058, 6700, 1200, 13968, 1717, 897, 6183, 13504, 13539, 1526, 7943, 6253, 19560, 1005, 18606, 3639, 15089, 15022]","{1444, 1011, 1012, 1462, 1438, 1471}","[6.0699034, 6.076106, 5.635654, 5.6785064, 5.328884, 4.902743, 4.992456, 4.7706037, 4.7638264, 4.75226, 4.5579433, 4.6420803, 4.576254, 4.1812243, 4.4367976, 4.1999793, 4.464462, 4.3435535, 4.4581037, 4.112228]",5148,"[4.801011562347412, 5.932088851928711, 4.664832592010498, 5.793498516082764, 5.721709251403809, 5.165234088897705, 3.427151679992676, 4.278134822845459, 4.717309474945068, 4.955618381500244, 5.252869606018066, 4.972242832183838, 4.662493705749512, 4.804126262664795, 2.197697162628174, 4.536460876464844, 4.758260726928711, 4.139649391174316, 4.003323554992676, 4.032818794250488]","[6.004670143127441, 5.521056175231934, 4.253911972045898, 5.681346893310547, 5.571967124938965, 4.965556621551514, 3.181703567504883, 4.316386699676514, 4.501344680786133, 4.489596366882324, 4.515157222747803, 4.833410739898682, 4.446188926696777, 2.527911901473999, 2.0218353271484375, 4.521731853485107, 4.876001834869385, 4.021251678466797, 4.6077070236206055, 3.565556764602661]","[6.418756484985352, 5.534196376800537, 3.9901609420776367, 5.437808513641357, 5.494594097137451, 4.995715141296387, 3.2513396739959717, 4.242407321929932, 4.46599817276001, 4.421769142150879, 4.556624412536621, 4.749960899353027, 3.8289215564727783, 2.7612862586975098, 2.48982572555542, 4.45951509475708, 4.431560039520264, 3.703360080718994, 4.217298984527588, 3.8383445739746094]","[4.8986430168151855, 6.23965311050415, 5.074619770050049, 5.689772129058838, 5.421267986297607, 4.808870792388916, 3.4527382850646973, 4.625564098358154, 4.675769805908203, 4.655872821807861, 4.67033576965332, 4.998314380645752, 4.531646728515625, 2.7475922107696533, 2.747812271118164, 4.245760440826416, 3.9355437755584717, 4.040937900543213, 4.043869495391846, 4.049434185028076]","[4.995865821838379, 5.597473621368408, 3.709270715713501, 5.548418998718262, 5.5391950607299805, 4.7609968185424805, 3.3156826496124268, 4.330434322357178, 5.0816192626953125, 4.411369323730469, 4.996793746948242, 4.897513389587402, 4.451682090759277, 2.5681710243225098, 2.3108129501342773, 4.286314010620117, 4.29069185256958, 4.0545654296875, 3.625192403793335, 3.4649243354797363]","[5.423789405822754, 5.764893627166748, 4.338559198379516, 5.630169010162353, 5.549746704101563, 4.939274692535401, 3.325723171234131, 4.358585453033447, 4.688408279418946, 4.586845207214355, 4.79835615158081, 4.89028844833374, 4.384186601638794, 3.0818175315856933, 2.3535966873168945, 4.409956455230713, 4.458411645889282, 3.991952896118164, 4.09947829246521, 3.7902157306671143]"
4,1231,"[1231, 1477, 1005, 6868, 14588, 16135, 614, 938, 6412, 13979, 459, 536, 6857, 7389, 968, 13541, 8001, 7349, 6452, 1217]","{1572, 1577, 1585, 1465, 1594, 1473, 1602, 325, 197, 1611, 1626, 994, 1250, 1506, 1123, 1386, 1514, 1002, 1525}","[9.345217, 9.374634, 8.406744, 7.755242, 7.36277, 7.3473434, 7.127168, 6.9896474, 7.2604823, 6.8832374, 6.713305, 6.711218, 6.684063, 6.704654, 6.435667, 6.450994, 6.436237, 6.379002, 6.3421035, 6.2626057]",1477,"[5.334478378295898, 8.955070495605469, 7.869781970977783, 6.8976731300354, 6.979095458984375, 4.913020610809326, 6.334407329559326, 6.929632663726807, 7.259463787078857, 6.34841775894165, 6.711932182312012, 6.8742194175720215, 6.372302055358887, 6.8470072746276855, 6.039798259735107, 6.833408832550049, 6.582626819610596, 5.876986026763916, 5.784339904785156, 4.579046726226807]","[8.20938777923584, 8.79671859741211, 7.8839850425720215, 7.612496376037598, 6.711205005645752, 5.1405463218688965, 6.572572708129883, 6.909240245819092, 6.88521146774292, 6.426214218139648, 5.8144755363464355, 6.556060314178467, 6.120790958404541, 5.6958770751953125, 6.161905765533447, 6.102609634399414, 6.746592044830322, 6.1371684074401855, 5.3575334548950195, 4.201664924621582]","[5.1014275550842285, 8.908738136291504, 7.985404014587402, 7.867326736450195, 6.913905620574951, 5.007115840911865, 6.56881856918335, 6.9181718826293945, 6.913954257965088, 5.838814735412598, 6.282878875732422, 6.7846550941467285, 6.587820529937744, 5.880445957183838, 6.128434658050537, 6.746711254119873, 6.655076503753662, 6.292383193969727, 5.200592994689941, 5.011338233947754]","[4.729557037353516, 9.391975402832031, 8.38216495513916, 7.205187797546387, 7.391838073730469, 5.146956920623779, 6.512752056121826, 7.086874961853027, 7.435727596282959, 6.466283798217773, 7.157897472381592, 6.742432594299316, 6.410272121429443, 6.39751672744751, 6.034962177276611, 6.544790744781494, 6.699862957000732, 6.124031066894531, 5.616477012634277, 4.698430061340332]","[7.826168060302734, 8.908893585205078, 8.31937026977539, 7.6436848640441895, 7.130038261413574, 4.8622636795043945, 6.392333984375, 7.068516731262207, 5.740669250488281, 5.387357711791992, 6.283994674682617, 6.588468551635742, 6.338021278381348, 6.230003833770752, 5.890535354614258, 6.4920973777771, 6.622727870941162, 6.121710300445557, 5.9349517822265625, 4.509115219116211]","[6.240203762054444, 8.992279243469238, 8.088141250610352, 7.445273780822754, 7.025216484069825, 5.013980674743652, 6.476176929473877, 6.982487297058105, 6.8470052719116214, 6.093417644500732, 6.450235748291016, 6.709167194366455, 6.365841388702393, 6.21017017364502, 6.051127243041992, 6.543923568725586, 6.661377239227295, 6.110455799102783, 5.578779029846191, 4.599919033050537]"
5,21064,"[21064, 21058, 7395, 21056, 461, 21046, 21052, 66, 21065, 1000, 1605, 1116, 21063, 15098, 924, 19119, 15539, 11805, 12878, 15537]","{1604, 7049, 6974, 5235, 1591, 4347, 4349, 6718}","[6.894803, 6.845436, 6.896889, 6.6568766, 4.8863072, 4.95663, 4.9312716, 4.9653316, 4.90914, 5.023155, 4.9840307, 4.859131, 4.7646294, 4.6916227, 4.917312, 4.5227594, 4.431363, 4.3979483, 4.348538, 4.24092]",7395,"[7.1026458740234375, 5.963266372680664, 7.07786226272583, 6.645346164703369, 4.89199686050415, 4.915446758270264, 5.2907891273498535, 4.7979416847229, 4.820627689361572, 3.9364843368530273, 3.5670151710510254, 4.367071151733398, 4.243075370788574, 4.519208908081055, 5.278012275695801, 3.6719887256622314, 4.473174571990967, 3.7345385551452637, 4.034740447998047, 3.4166393280029297]","[7.343541145324707, 6.689095973968506, 7.173508644104004, 7.3827080726623535, 5.018210411071777, 5.055758476257324, 5.047677516937256, 4.599606513977051, 4.647562026977539, 3.9168264865875244, 4.670190334320068, 4.257576942443848, 4.809844970703125, 4.9156317710876465, 5.5069780349731445, 3.621879816055298, 4.384042739868164, 2.689028024673462, 3.831477403640747, 4.117549419403076]","[6.9285430908203125, 6.815179347991943, 6.896306037902832, 6.773525714874268, 4.577929973602295, 5.132960319519043, 4.612646579742432, 4.524567604064941, 5.159228324890137, 4.356491565704346, 3.5175607204437256, 3.8369195461273193, 4.968210697174072, 4.061216354370117, 4.857646942138672, 3.4716336727142334, 4.340435028076172, 4.047677040100098, 4.549386501312256, 4.26412296295166]","[6.854746341705322, 6.983044624328613, 6.860562801361084, 7.431939125061035, 6.149224758148193, 4.983174800872803, 4.541452884674072, 4.767969131469727, 5.046440124511719, 4.793659210205078, 4.498561859130859, 4.527704238891602, 5.477537631988525, 4.2773542404174805, 5.641773700714111, 3.513732433319092, 4.608945846557617, 4.158689498901367, 4.4549479484558105, 3.7033915519714355]","[7.261548042297363, 6.7349772453308105, 7.14682149887085, 6.947946071624756, 5.1943535804748535, 4.806290626525879, 4.930623531341553, 4.967886924743652, 4.952221393585205, 4.48952579498291, 3.6249940395355225, 4.715025901794434, 4.514900207519531, 4.0768046379089355, 5.429202079772949, 3.0840837955474854, 4.055574417114258, 4.3105316162109375, 4.867321968078613, 3.412564516067505]","[7.098204898834228, 6.637112712860107, 7.03101224899292, 7.036293029785156, 5.166343116760254, 4.978726196289062, 4.884637928009033, 4.731594371795654, 4.9252159118652346, 4.2985974788665775, 3.97566442489624, 4.3408595561981205, 4.802713775634766, 4.370043182373047, 5.342722606658936, 3.472663688659668, 4.372434520721436, 3.7880929470062257, 4.347574853897095, 3.7828535556793215]"
6,197,"[197, 369, 1231, 1450, 17629, 621, 1408, 6778, 860, 7173, 332, 1391, 710, 1046, 903, 15396, 884, 12962, 1623, 803]","{1537, 1435, 671, 7082, 7085, 7087, 7090, 7093, 1218, 7111, 7114, 7115, 7116, 7120, 7123, 7125, 1494, 7127, 858, 7132, 7138, 1251, 7146, 619, 622, 7152, 7155}","[9.657708, 9.176891, 9.077489, 8.58799, 8.778825, 8.728363, 8.561881, 9.65836, 8.442633, 8.486715, 8.2153225, 7.957456, 9.013254, 7.983272, 8.131998, 8.207334, 8.49334, 8.026028, 7.7986474, 7.886098]",6778,"[8.353496551513672, 7.625494480133057, 6.682435989379883, 7.8046956062316895, 7.6519317626953125, 8.205698013305664, 7.4343156814575195, 7.432839870452881, 7.600203037261963, 8.02145767211914, 7.184166431427002, 7.035459995269775, 7.571255683898926, 6.992179870605469, 7.379461765289307, 7.2979583740234375, 7.6248626708984375, 7.5310282707214355, 6.3727803230285645, 7.401905536651611]","[8.074422836303711, 7.412987232208252, 6.888266563415527, 7.176411151885986, 7.473735332489014, 8.334940910339355, 5.493587017059326, 7.634202003479004, 7.556900978088379, 8.135457992553711, 6.893430709838867, 6.996942043304443, 7.685634613037109, 7.2054338455200195, 7.177310466766357, 7.661929607391357, 7.434554100036621, 7.126067638397217, 6.215667247772217, 7.375956058502197]","[8.101719856262207, 6.92682409286499, 6.013252258300781, 6.820520401000977, 7.27269172668457, 7.777484893798828, 5.446868896484375, 7.61179256439209, 7.8081536293029785, 8.336308479309082, 7.509947776794434, 7.403932094573975, 7.452959060668945, 6.468425273895264, 8.049612045288086, 7.027519226074219, 7.494733810424805, 7.286068916320801, 6.127984046936035, 7.279967308044434]","[8.576068878173828, 6.87437629699707, 8.070894241333008, 7.251259803771973, 7.131286144256592, 8.291178703308105, 7.26065731048584, 7.937704563140869, 7.588245391845703, 8.535574913024902, 7.014183044433594, 7.714873313903809, 7.583693027496338, 7.020609378814697, 7.399559497833252, 7.3633856773376465, 7.241896152496338, 7.198985576629639, 6.6138014793396, 7.035365581512451]","[8.277251243591309, 7.384222030639648, 6.8427629470825195, 7.0592570304870605, 7.8018622398376465, 7.947751998901367, 7.395612716674805, 7.4788713455200195, 8.316884994506836, 8.860458374023438, 7.0696892738342285, 7.323514938354492, 7.929570198059082, 6.8026509284973145, 7.8140549659729, 7.286628246307373, 7.748870372772217, 7.236266136169434, 6.675103187561035, 7.5116705894470215]","[8.276591873168945, 7.244780826568603, 6.899522399902343, 7.222428798675537, 7.466301441192627, 8.111410903930665, 6.606208324432373, 7.619082069396972, 7.774077606201172, 8.377851486206055, 7.134283447265625, 7.294944477081299, 7.64462251663208, 6.897859859466553, 7.56399974822998, 7.327484226226806, 7.508983421325683, 7.275683307647705, 6.40106725692749, 7.320973014831543]"
7,21058,"[21058, 21056, 21064, 7061, 7395, 7032, 1811, 7031, 2732, 1729, 1894, 5037, 7042, 15098, 6999, 7012, 6510, 7039, 6744, 7038]","{536, 6970, 255}","[7.895673, 7.7889934, 7.6552005, 7.520958, 7.906566, 7.5309153, 7.3949885, 7.364942, 7.3452063, 7.353276, 7.325519, 7.3094196, 7.283512, 7.3866816, 7.2384577, 7.223402, 7.2110596, 7.142696, 7.107258, 7.1043305]",7395,"[7.8206915855407715, 7.856827259063721, 7.179200172424316, 7.926020622253418, 6.979253768920898, 6.642965793609619, 6.39866304397583, 6.678027629852295, 6.64774227142334, 7.021602153778076, 6.709531307220459, 7.002366542816162, 6.455808162689209, 6.636911392211914, 6.527039051055908, 6.8569865226745605, 6.830770969390869, 6.580094814300537, 6.625394344329834, 6.421426773071289]","[7.885870456695557, 8.376954078674316, 7.79875373840332, 6.905208110809326, 7.14888334274292, 6.774487018585205, 7.099830150604248, 6.976332187652588, 6.9454193115234375, 7.1507792472839355, 6.587949752807617, 6.932570934295654, 6.718993663787842, 7.108813762664795, 7.095553874969482, 6.441407680511475, 6.4525837898254395, 7.143065452575684, 6.757421970367432, 7.190069198608398]","[7.706824779510498, 7.913499355316162, 7.181358814239502, 7.642184734344482, 8.220880508422852, 6.7166619300842285, 6.725822448730469, 6.787058353424072, 6.745547294616699, 6.832999229431152, 6.5771002769470215, 6.542225360870361, 6.710700035095215, 6.894136428833008, 6.875097274780273, 7.105030059814453, 6.75192403793335, 6.861382961273193, 6.269850254058838, 6.963621616363525]","[7.952086448669434, 8.0272855758667, 7.185341835021973, 7.427743434906006, 7.383336067199707, 7.008439064025879, 7.002908706665039, 6.891198635101318, 6.813906669616699, 7.3143439292907715, 6.93770694732666, 6.828146934509277, 6.70322847366333, 7.552659034729004, 7.2333526611328125, 7.072926044464111, 6.798459529876709, 6.714595794677734, 6.794121742248535, 6.6273956298828125]","[7.818260192871094, 7.697351932525635, 7.13137149810791, 7.166001319885254, 8.206026077270508, 6.225071907043457, 6.6308088302612305, 6.764620780944824, 6.358706474304199, 6.728930473327637, 6.646087646484375, 6.471236228942871, 6.213420867919922, 6.296487331390381, 6.739161491394043, 6.244984149932861, 6.709499835968018, 6.609020233154297, 6.464416027069092, 6.413075923919678]","[7.836746692657471, 7.9743836402893065, 7.295205211639404, 7.413431644439697, 7.587675952911377, 6.673525142669678, 6.7716066360473635, 6.8194475173950195, 6.702264404296875, 7.009731006622315, 6.691675186157227, 6.755309200286865, 6.560430240631104, 6.8978015899658205, 6.894040870666504, 6.7442668914794925, 6.708647632598877, 6.781631851196289, 6.582240867614746, 6.723117828369141]"
8,1231,"[1231, 369, 197, 18106, 13190, 6807, 1563, 6778, 1408, 4341, 4340, 1458, 17290, 6446, 20631, 12272, 792, 597, 12681, 1450]",,,-1,,,,,,
9,6778,"[6778, 7337, 1458, 12681, 1231, 1588, 4340, 4341, 6990, 7173, 24218, 24207, 7393, 919, 8398, 15116, 446, 4349, 4347, 4353]",,,-1,,,,,,
