user,item,topk,counterfactual,predicted_scores,replacement,actual_scores_0,actual_scores_1,actual_scores_2,actual_scores_3,actual_scores_4,actual_scores_avg
0,21897,"[21897, 1366, 17781, 6852, 6853, 6855, 6778, 7503, 1554, 6850]","{664, 531, 255}","[9.57409, 9.583905, 8.796, 8.409141, 8.344852, 8.334733, 8.326012, 8.241534, 8.059, 7.7979736]",1366,"[9.830575942993164, 9.242995262145996, 6.100129127502441, 8.363592147827148, 8.269787788391113, 8.326717376708984, 8.677791595458984, 8.085716247558594, 8.97961711883545, 7.81240177154541]","[9.811616897583008, 9.286813735961914, 6.714845180511475, 8.18632984161377, 8.435392379760742, 8.244757652282715, 8.422679901123047, 8.10537338256836, 8.773804664611816, 7.820154666900635]","[9.981942176818848, 8.952645301818848, 6.848176002502441, 8.292937278747559, 8.376852989196777, 8.33950424194336, 8.62436580657959, 8.615575790405273, 8.49398422241211, 7.854978561401367]","[10.050328254699707, 9.070908546447754, 6.947013854980469, 8.156935691833496, 8.016809463500977, 8.191044807434082, 8.563061714172363, 8.103727340698242, 8.627473831176758, 7.828575611114502]","[10.168245315551758, 9.494102478027344, 6.973729610443115, 8.248909950256348, 8.206686973571777, 8.356626510620117, 8.479192733764648, 8.556045532226562, 8.952929496765137, 7.885353088378906]","[9.968541717529297, 9.209493064880371, 6.716778755187988, 8.249740982055664, 8.261105918884278, 8.29173011779785, 8.553418350219726, 8.293287658691407, 8.765561866760255, 7.840292739868164]"
1,7394,"[7394, 6778, 15116, 719, 786, 1627, 7473, 803, 14662, 4340]","{1027, 772, 1037, 531, 1047, 536, 1051, 1053, 670, 669, 1063, 706, 968, 970, 972, 846, 975, 976, 985, 858, 990, 992, 996, 997, 613, 1000, 1009, 1012, 1014, 1017}","[9.613484, 9.617036, 7.364127, 7.657512, 7.3065577, 7.3673573, 7.2211523, 7.404691, 7.003384, 7.7807393]",6778,"[5.880263328552246, 8.441512107849121, 6.44215202331543, 7.598825931549072, 7.25997257232666, 6.8625993728637695, 6.020814895629883, 7.566794395446777, 5.184065818786621, 7.083968639373779]","[6.437741756439209, 8.8124418258667, 6.6902055740356445, 7.215703010559082, 7.575375556945801, 7.017252445220947, 6.271847724914551, 7.491746425628662, 5.201804161071777, 6.846020698547363]","[5.921389579772949, 8.574248313903809, 6.146196365356445, 7.172552108764648, 7.3415679931640625, 6.768507957458496, 6.146921634674072, 7.011327743530273, 5.1119465827941895, 7.193974494934082]","[6.232412338256836, 8.671976089477539, 6.5254411697387695, 7.05911922454834, 7.445789337158203, 6.982320785522461, 6.209975242614746, 7.79938268661499, 4.828484058380127, 7.123230934143066]","[6.1304707527160645, 8.71982479095459, 6.464365005493164, 7.163130760192871, 7.298054218292236, 6.4593939781188965, 6.25762414932251, 7.124781131744385, 5.105454444885254, 6.691236972808838]","[6.120455551147461, 8.644000625610351, 6.45367202758789, 7.241866207122802, 7.384151935577393, 6.818014907836914, 6.1814367294311525, 7.398806476593018, 5.086351013183593, 6.987686347961426]"
2,1231,"[1231, 197, 369, 1450, 621, 1408, 307, 6778, 18106, 17629]",,,-1,,,,,,
3,1047,"[1047, 5148, 8058, 6700, 1200, 13968, 1717, 897, 6183, 13504]","{1444, 1011, 1012, 1462, 1438, 1471}","[6.0699034, 6.076106, 5.635654, 5.6785064, 5.328884, 4.902743, 4.992456, 4.7706037, 4.7638264, 4.75226]",5148,"[4.801011562347412, 5.932088851928711, 4.664832592010498, 5.793498516082764, 5.721709251403809, 5.165234088897705, 3.427151679992676, 4.278134822845459, 4.717309474945068, 4.955618381500244]","[6.004670143127441, 5.521056175231934, 4.253911972045898, 5.681346893310547, 5.571967124938965, 4.965556621551514, 3.181703567504883, 4.316386699676514, 4.501344680786133, 4.489596366882324]","[6.418756484985352, 5.534196376800537, 3.9901609420776367, 5.437808513641357, 5.494594097137451, 4.995715141296387, 3.2513396739959717, 4.242407321929932, 4.46599817276001, 4.421769142150879]","[4.8986430168151855, 6.23965311050415, 5.074619770050049, 5.689772129058838, 5.421267986297607, 4.808870792388916, 3.4527382850646973, 4.625564098358154, 4.675769805908203, 4.655872821807861]","[4.995865821838379, 5.597473621368408, 3.709270715713501, 5.548418998718262, 5.5391950607299805, 4.7609968185424805, 3.3156826496124268, 4.330434322357178, 5.0816192626953125, 4.411369323730469]","[5.423789405822754, 5.764893627166748, 4.338559198379516, 5.630169010162353, 5.549746704101563, 4.939274692535401, 3.325723171234131, 4.358585453033447, 4.688408279418946, 4.586845207214355]"
4,1231,"[1231, 1477, 1005, 6868, 14588, 16135, 614, 938, 6412, 13979]","{1572, 1577, 1585, 1465, 1594, 1473, 1602, 325, 197, 1611, 1626, 994, 1250, 1506, 1123, 1386, 1514, 1002, 1525}","[9.345217, 9.374634, 8.406744, 7.755242, 7.36277, 7.3473434, 7.127168, 6.9896474, 7.2604823, 6.8832374]",1477,"[5.334478378295898, 8.955070495605469, 7.869781970977783, 6.8976731300354, 6.979095458984375, 4.913020610809326, 6.334407329559326, 6.929632663726807, 7.259463787078857, 6.34841775894165]","[8.20938777923584, 8.79671859741211, 7.8839850425720215, 7.612496376037598, 6.711205005645752, 5.1405463218688965, 6.572572708129883, 6.909240245819092, 6.88521146774292, 6.426214218139648]","[5.1014275550842285, 8.908738136291504, 7.985404014587402, 7.867326736450195, 6.913905620574951, 5.007115840911865, 6.56881856918335, 6.9181718826293945, 6.913954257965088, 5.838814735412598]","[4.729557037353516, 9.391975402832031, 8.38216495513916, 7.205187797546387, 7.391838073730469, 5.146956920623779, 6.512752056121826, 7.086874961853027, 7.435727596282959, 6.466283798217773]","[7.826168060302734, 8.908893585205078, 8.31937026977539, 7.6436848640441895, 7.130038261413574, 4.8622636795043945, 6.392333984375, 7.068516731262207, 5.740669250488281, 5.387357711791992]","[6.240203762054444, 8.992279243469238, 8.088141250610352, 7.445273780822754, 7.025216484069825, 5.013980674743652, 6.476176929473877, 6.982487297058105, 6.8470052719116214, 6.093417644500732]"
5,21064,"[21064, 21058, 7395, 21056, 461, 21046, 21052, 66, 21065, 1000]","{1604, 7049, 6974, 5235, 1591, 4347, 4349, 6718}","[6.894803, 6.845436, 6.896889, 6.6568766, 4.8863072, 4.95663, 4.9312716, 4.9653316, 4.90914, 5.023155]",7395,"[7.1026458740234375, 5.963266372680664, 7.07786226272583, 6.645346164703369, 4.89199686050415, 4.915446758270264, 5.2907891273498535, 4.7979416847229, 4.820627689361572, 3.9364843368530273]","[7.343541145324707, 6.689095973968506, 7.173508644104004, 7.3827080726623535, 5.018210411071777, 5.055758476257324, 5.047677516937256, 4.599606513977051, 4.647562026977539, 3.9168264865875244]","[6.9285430908203125, 6.815179347991943, 6.896306037902832, 6.773525714874268, 4.577929973602295, 5.132960319519043, 4.612646579742432, 4.524567604064941, 5.159228324890137, 4.356491565704346]","[6.854746341705322, 6.983044624328613, 6.860562801361084, 7.431939125061035, 6.149224758148193, 4.983174800872803, 4.541452884674072, 4.767969131469727, 5.046440124511719, 4.793659210205078]","[7.261548042297363, 6.7349772453308105, 7.14682149887085, 6.947946071624756, 5.1943535804748535, 4.806290626525879, 4.930623531341553, 4.967886924743652, 4.952221393585205, 4.48952579498291]","[7.098204898834228, 6.637112712860107, 7.03101224899292, 7.036293029785156, 5.166343116760254, 4.978726196289062, 4.884637928009033, 4.731594371795654, 4.9252159118652346, 4.2985974788665775]"
6,197,"[197, 369, 1231, 1450, 17629, 621, 1408, 6778, 860, 7173]","{1537, 1435, 671, 7082, 7085, 7087, 7090, 7093, 1218, 7111, 7114, 7115, 7116, 7120, 7123, 7125, 1494, 7127, 858, 7132, 7138, 1251, 7146, 619, 622, 7152, 7155}","[9.657708, 9.176891, 9.077489, 8.58799, 8.778825, 8.728363, 8.561881, 9.65836, 8.442633, 8.486715]",6778,"[8.353496551513672, 7.625494480133057, 6.682435989379883, 7.8046956062316895, 7.6519317626953125, 8.205698013305664, 7.4343156814575195, 7.432839870452881, 7.600203037261963, 8.02145767211914]","[8.074422836303711, 7.412987232208252, 6.888266563415527, 7.176411151885986, 7.473735332489014, 8.334940910339355, 5.493587017059326, 7.634202003479004, 7.556900978088379, 8.135457992553711]","[8.101719856262207, 6.92682409286499, 6.013252258300781, 6.820520401000977, 7.27269172668457, 7.777484893798828, 5.446868896484375, 7.61179256439209, 7.8081536293029785, 8.336308479309082]","[8.576068878173828, 6.87437629699707, 8.070894241333008, 7.251259803771973, 7.131286144256592, 8.291178703308105, 7.26065731048584, 7.937704563140869, 7.588245391845703, 8.535574913024902]","[8.277251243591309, 7.384222030639648, 6.8427629470825195, 7.0592570304870605, 7.8018622398376465, 7.947751998901367, 7.395612716674805, 7.4788713455200195, 8.316884994506836, 8.860458374023438]","[8.276591873168945, 7.244780826568603, 6.899522399902343, 7.222428798675537, 7.466301441192627, 8.111410903930665, 6.606208324432373, 7.619082069396972, 7.774077606201172, 8.377851486206055]"
7,21058,"[21058, 21056, 21064, 7061, 7395, 7032, 1811, 7031, 2732, 1729]","{536, 6970, 255}","[7.895673, 7.7889934, 7.6552005, 7.520958, 7.906566, 7.5309153, 7.3949885, 7.364942, 7.3452063, 7.353276]",7395,"[7.8206915855407715, 7.856827259063721, 7.179200172424316, 7.926020622253418, 6.979253768920898, 6.642965793609619, 6.39866304397583, 6.678027629852295, 6.64774227142334, 7.021602153778076]","[7.885870456695557, 8.376954078674316, 7.79875373840332, 6.905208110809326, 7.14888334274292, 6.774487018585205, 7.099830150604248, 6.976332187652588, 6.9454193115234375, 7.1507792472839355]","[7.706824779510498, 7.913499355316162, 7.181358814239502, 7.642184734344482, 8.220880508422852, 6.7166619300842285, 6.725822448730469, 6.787058353424072, 6.745547294616699, 6.832999229431152]","[7.952086448669434, 8.0272855758667, 7.185341835021973, 7.427743434906006, 7.383336067199707, 7.008439064025879, 7.002908706665039, 6.891198635101318, 6.813906669616699, 7.3143439292907715]","[7.818260192871094, 7.697351932525635, 7.13137149810791, 7.166001319885254, 8.206026077270508, 6.225071907043457, 6.6308088302612305, 6.764620780944824, 6.358706474304199, 6.728930473327637]","[7.836746692657471, 7.9743836402893065, 7.295205211639404, 7.413431644439697, 7.587675952911377, 6.673525142669678, 6.7716066360473635, 6.8194475173950195, 6.702264404296875, 7.009731006622315]"
8,1231,"[1231, 369, 197, 18106, 13190, 6807, 1563, 6778, 1408, 4341]",,,-1,,,,,,
9,6778,"[6778, 7337, 1458, 12681, 1231, 1588, 4340, 4341, 6990, 7173]",,,-1,,,,,,
10,1231,"[1231, 1047, 197, 1391, 7394, 17781, 12948, 6778, 1473, 12939]",,,-1,,,,,,
11,7394,"[7394, 1465, 7107, 14824, 49, 837, 622, 1231, 6854, 7338]",,,-1,,,,,,
12,7395,"[7395, 622, 13321, 12710, 6685, 6744, 1729, 16285, 5333, 6778]","{5767, 7503, 7351, 6970, 4765}","[9.196359, 9.1981945, 8.638276, 8.516716, 8.450292, 8.312065, 8.458924, 8.243456, 8.141517, 8.084993]",622,"[8.875276565551758, 8.621980667114258, 8.458324432373047, 8.239007949829102, 7.4717116355896, 7.542120933532715, 8.478059768676758, 8.062325477600098, 7.6798553466796875, 7.19094181060791]","[8.596301078796387, 9.59697151184082, 8.869254112243652, 8.209856986999512, 7.874547958374023, 8.025106430053711, 8.612627983093262, 8.391088485717773, 8.024677276611328, 7.2696309089660645]","[8.896408081054688, 9.389114379882812, 8.83105182647705, 8.528937339782715, 8.071566581726074, 8.047322273254395, 8.478269577026367, 8.442217826843262, 7.979212760925293, 7.131298065185547]","[9.061062812805176, 9.147737503051758, 9.172525405883789, 8.845446586608887, 8.073467254638672, 8.152409553527832, 8.769937515258789, 8.314079284667969, 8.244318962097168, 7.33931827545166]","[8.699227333068848, 8.833734512329102, 8.842876434326172, 8.269613265991211, 7.941808223724365, 7.897264003753662, 8.371359825134277, 8.329598426818848, 7.869658946990967, 7.5832648277282715]","[8.82565517425537, 9.11790771484375, 8.834806442260742, 8.418572425842285, 7.886620330810547, 7.932844638824463, 8.54205093383789, 8.30786190032959, 7.959544658660889, 7.302890777587891]"
13,1047,"[1047, 6974, 1202, 15089, 14588, 1366, 13539, 1005, 7998, 13198]",,,-1,,,,,,
